date_releve;operateur;categorie;offre;debit_ou_data;appels_inclus;prix_dh_mois;remarques;source;fiabilite
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 165 (30 Go);30 Go;180 min;165;retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 165 (14 Go);14 Go;840 min;165;retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 199 (50 Go);50 Go;90 min;199;+1 Go roaming Z1 - retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 220 (12 Go);12 Go;1320 min;220;retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 220 (30 Go);30 Go;720 min;220;retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 249 (25 Go);25 Go;1200 min;249;retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 259 (65 Go);65 Go;180 min;259;+2 Go roaming Z1 - retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 329 (80 Go);80 Go;240 min;329;+3 Go roaming Z1 - retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 349 (55 Go);55 Go;900 min;349;retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 349 (30 Go);30 Go;1800 min;349;retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-20;Maroc Telecom;Forfait mobile;Liberte Plus 479 (100 Go);100 Go;1200 min;479;+4 Go roaming Z1 - retrospectif web.archive.org;https://web.archive.org/web/20260520234755id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2026-05-23;Maroc Telecom;Box;Box 4G+ 199 DH;60 Go;60 min;199;retrospectif web.archive.org;https://web.archive.org/web/20260523210528id_/https://www.iam.ma/box-4g;officiel_archive
2026-05-23;Maroc Telecom;Box;Box 4G+ 350 DH;90 Go;120 min;350;retrospectif web.archive.org;https://web.archive.org/web/20260523210528id_/https://www.iam.ma/box-4g;officiel_archive
