date_releve;operateur;categorie;offre;debit_ou_data;appels_inclus;prix_dh_mois;remarques;source;fiabilite
2025-12-05;Maroc Telecom;Fibre;Fibre Optique 100M;100 Mb/s;Illimités vers les fixes nationaux 10H vers mobile dont 2H vers l’international Zone 1;400;retrospectif web.archive.org;https://web.archive.org/web/20251205144202id_/https://www.iam.ma/fibre-optique;officiel_archive
2025-12-05;Maroc Telecom;Fibre;Fibre Optique 200M;200 Mb/s;Illimités vers les fixes nationaux 20H vers mobile dont 4H vers l’international Zone 1;500;retrospectif web.archive.org;https://web.archive.org/web/20251205144202id_/https://www.iam.ma/fibre-optique;officiel_archive
2025-12-05;Maroc Telecom;Fibre;Fibre Optique 1G;1 Gb/s;Illimités vers les fixes et mobiles nationaux 20H vers l'international;1000;retrospectif web.archive.org;https://web.archive.org/web/20251205144202id_/https://www.iam.ma/fibre-optique;officiel_archive
2025-12-06;Maroc Telecom;Forfait mobile;Forfait Liberte 59 (11 Go);11 Go;1h;59;retrospectif web.archive.org;https://web.archive.org/web/20251206065433id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2025-12-06;Maroc Telecom;Forfait mobile;Forfait Liberte 59 (3 Go);3 Go;3h;59;300 SMS - retrospectif web.archive.org;https://web.archive.org/web/20251206065433id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2025-12-06;Maroc Telecom;Forfait mobile;Forfait Liberte 99 (20 Go);20 Go;1h;99;retrospectif web.archive.org;https://web.archive.org/web/20251206065433id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2025-12-06;Maroc Telecom;Forfait mobile;Forfait Liberte 99 (2 Go);2 Go;11h;99;retrospectif web.archive.org;https://web.archive.org/web/20251206065433id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2025-12-06;Maroc Telecom;Forfait mobile;Forfait Liberte 99 (13 Go);13 Go;4h;99;retrospectif web.archive.org;https://web.archive.org/web/20251206065433id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2025-12-06;Maroc Telecom;Forfait mobile;Forfait Liberte 119 (22 Go);22 Go;2h;119;retrospectif web.archive.org;https://web.archive.org/web/20251206065433id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2025-12-06;Maroc Telecom;Forfait mobile;Forfait Liberte 119 (15 Go);15 Go;5h;119;retrospectif web.archive.org;https://web.archive.org/web/20251206065433id_/https://www.iam.ma/forfaits-mobile;officiel_archive
2025-12-18;Maroc Telecom;Box;El Manzil 5G 400 DH;100 Mb/s;;400;retrospectif web.archive.org;https://web.archive.org/web/20251218045107id_/https://www.iam.ma/box-el-manzil-5g;officiel_archive
2025-12-05;Maroc Telecom;Box;Box 4G+ 199 DH;40 Go;;199;retrospectif web.archive.org;https://web.archive.org/web/20251205143643id_/https://www.iam.ma/box-4g;officiel_archive
2025-12-05;Maroc Telecom;Box;Box 4G+ 350 DH;70 Go;;350;retrospectif web.archive.org;https://web.archive.org/web/20251205143643id_/https://www.iam.ma/box-4g;officiel_archive
2025-12-05;Maroc Telecom;Box;Box 4G+ 450 DH;90 Go;;450;retrospectif web.archive.org;https://web.archive.org/web/20251205143643id_/https://www.iam.ma/box-4g;officiel_archive
2025-12-12;Orange;Forfait mobile;Yoxo 250 DH;;;250;prix du slug - detail data a completer - retrospectif web.archive.org;https://web.archive.org/web/20251212022905id_/https://www.yoxo.ma/;officiel_archive
2025-12-12;Orange;Forfait mobile;Yoxo 100 DH;;;100;prix du slug - detail data a completer - retrospectif web.archive.org;https://web.archive.org/web/20251212022905id_/https://www.yoxo.ma/;officiel_archive
2025-12-12;Orange;Forfait mobile;Yoxo 200 DH;;;200;prix du slug - detail data a completer - retrospectif web.archive.org;https://web.archive.org/web/20251212022905id_/https://www.yoxo.ma/;officiel_archive
2025-12-12;Orange;Forfait mobile;Yoxo 50 DH;;;50;prix du slug - detail data a completer - retrospectif web.archive.org;https://web.archive.org/web/20251212022905id_/https://www.yoxo.ma/;officiel_archive
